Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile
YOR020C	0	358	0.1449	0.3779175	0.570554923422358	0.204650943396226	0.0908	0.0465	2	20	33	0.781	0.411	100	0
YOR023C	1	3.92	0.6777	0.297685	0.511808888442469	0.608238339222615	0.6998	0.1889	7	6	5	0.289333333333333	0.2735	52	0
YOR025W	1	5.27	0.8565	0.3600675	0.553524870763015	0.273641387024608	0.722	0.3516	2	20	5	0.401	0.272	151	0
YOR026W	1	15.6	0.2084	0.322725	0.56011967806027	0.124327859237537	0.0293	0.1181	40	4	10	0.426615384615385	0.277871794871795	189	0
YOR027W	1	1200	0.3667	0.3488	0.542362545322007	0.494010865874363	0.2856	0.0036	2	11	30	0.588	0.446	118	0
YOR028C	1	2.93	0.6645	0.502105	0.686757699589014	0.561775593220339	0.514	0.2301	4	2	7	0.450333333333333	0.365	324	0
YOR032C	0	1.38	0.5109	0.31524	0.537860364674287	0.54890069124424	0.6992	0.1881	12	37	3	0.327181818181818	0.283545454545455	110	0
YOR033C	0	7.76	NA	NA	NA	0.338207264957265	0.2597	0.172	NA	16	3	NA	NA	57	1
YOR034C	0	9.13	0.0124	0.0374225	0.157266259338136	0.111143925233645	0.3059	0.0143	11	6	24	0.2962	0.2073	104	0
YOR036W	0	1.12	0.0588	0.2595825	0.487554029048889	0.302235069444444	0.0014	0.0348	17	13	23	0.3358125	0.2568125	70	0
YOR037W	0	25.1	0.1822	0.27071	0.479604122696796	0.189012021857924	0.2273	0.0853	6	2	NA	0.2932	0.2696	103	1
YOR038C	1	13.9	0.0255	0.1765275	0.369852756546729	0.229177371428571	0.1425	0.0028	7	4	27	0.250666666666667	0.228	95	0
YOR039W	1	256	0.5909	0.5954675	0.769308119259793	0.177985271317829	0.3359	0.1779	29	11	3	0.478107142857143	0.317107142857143	254	0
YOR040W	1	2.8	0.017	0.0399425	0.176208896150376	0.226610175438596	0.28	0.1685	15	29	6	0.2835	0.222	345	0
YOR042W	0	57.2	0.6755	0.3533125	0.545728731775002	0.784391484184915	0.8115	0.196	2	NA	NA	0.713	0.278	51	1
YOR043W	0	32.7	0.0053	0.073355	0.212443768550666	0.363741358024691	0.0307	0.0129	6	NA	4	0.1338	0.1534	157	1
YOR044W	1	43.9	NA	NA	NA	0.136452866242038	0.2298	0.0956	1	68	20	NA	NA	221	0
YOR045W	0	10	NA	NA	NA	0.175188524590164	0.0871	0.0065	NA	8	7	NA	NA	157	1
YOR046C	0	341	0.1846	0.2647075	0.49277368151222	0.310458921161826	0.1907	0.147	15	5	11	0.371857142857143	0.259714285714286	55	0
YOR047C	1	3.48	NA	NA	NA	0.423776801801802	0.3346	0.0798	1	15	18	NA	NA	176	0
YOR048C	0	28.9	0.1456	0.042555	0.185457668600807	0.338722862823062	0.9011	0.108	24	NA	11	0.308565217391304	0.233913043478261	108	1
YOR049C	0	1.54	NA	NA	NA	0.05305	0.0783	0.0128	1	6	4	NA	NA	192	0
YOR051C	0	235	NA	NA	NA	0.333530582524272	0.3126	0.0109	NA	17	30	NA	NA	171	1
YOR052C	1	86.7	0.1659	0.1276325	0.328545116478476	0.475872	0.5719	0.0602	21	6	12	0.3225	0.2305	252	0
YOR054C	1	2.81	0.8659	0.0891725	0.241283428896254	0.599590801186944	0.8084	0.402	8	20	2	0.273571428571429	0.176857142857143	75	0
YOR056C	0	95.2	0.383	0.16657	0.349959295614355	0.45222440087146	0.6493	0.0449	4	NA	12	0.276666666666667	0.171666666666667	58	1
YOR057W	1	29.4	0.1665	0.111325	0.289688031516117	0.374253164556962	0.8186	0.0392	12	3	2	0.247727272727273	0.210909090909091	82	0
YOR058C	1	8.92	0.1646	0.2721275	0.4660475539837	0.375734915254237	0.2879	0.0097	3	52	9	0.4015	0.2015	247	0
YOR061W	1	111	0.0314	0.0841075	0.267852701234033	0.119351622418879	0.1316	0.0167	30	7	16	0.385413793103448	0.244275862068966	223	0
YOR063W	1	3109	0.1121	0.167415	0.373564406068601	0.312003617571059	0.3225	0.0093	12	7	5	0.392727272727273	0.267181818181818	119	0
YOR064C	0	9.36	0.6576	0.241695	0.429350829990021	0.299639269406393	0.7101	0.0905	3	17	NA	0.27	0.1715	86	1
YOR065W	1	380	0.5477	0.32768	0.537084059512109	0.331914563106796	0.3531	0.1176	5	11	2	0.443	0.32775	529	0
YOR066W	1	1.81	0.5254	0.3488	0.542362545322007	0.655755484896661	0.6496	0.1186	2	7	11	0.588	0.446	214	0
YOR067C	1	1.43	0.0036	0.218225	0.427294840232833	0.0379840554592721	9e-04	0.0034	9	13	7	0.334625	0.240875	84	0
YOR069W	1	74.3	0.0399	0.1463925	0.325581551758195	0.427327407407407	0.0879	0.0163	6	31	2	0.2272	0.1748	116	0
YOR070C	1	6.65	0.0131	0.0802125	0.234019884644094	0.408532810047096	0.053	0.0263	10	23	13	0.251555555555556	0.195	84	0
YOR071C	1	2.03	NA	NA	NA	0.070156856187291	0.4601	0.1115	1	8	65	NA	NA	227	0
YOR073W	1	3.26	0.0205	0.0084525	0.0855645648988798	0.672041694915254	0.8079	0.0181	33	18	3	0.2706875	0.196	117	0
YOR074C	0	33.9	0.1646	0.1770575	0.405860223795749	0.216064802631579	0.3794	0.1255	22	NA	2	0.355190476190476	0.253	83	1
YOR075W	0	6.43	NA	NA	NA	0.279858670520231	0.0088	0.0286	NA	5	9	NA	NA	54	1
YOR076C	1	7.37	0.0337	0.3191875	0.523259331493499	0.25861686746988	0.029	0.0114	4	18	9	0.370333333333333	0.269	78	0
YOR078W	0	27.3	0.2082	0.08736	0.247343787159457	0.634457943925234	0.4627	0.2385	9	NA	3	0.227375	0.219375	40	1
YOR079C	1	1.24	0.0102	0.084995	0.255966464034911	0.0443514376996805	0.0069	0.0024	15	12	17	0.364857142857143	0.249571428571429	136	0
YOR080W	1	4.13	0.1563	0.3322825	0.557004461796887	0.149823360655738	0.0435	0.0343	16	2	6	0.4542	0.265533333333333	167	0
YOR081C	1	9.28	0.7226	0.530255	0.711413768661872	0.24225300400534	0.4801	0.0556	5	2	11	0.53125	0.3695	128	0
YOR084W	0	22.6	0.0261	0.071895	0.228816733784932	0.235416020671835	0.3138	0.0293	12	16	15	0.256545454545455	0.201727272727273	51	0
YOR085W	1	41.4	0.0445	0.1633475	0.388241705818481	0.0716368571428571	0.0092	0.0348	19	10	23	0.3505	0.248388888888889	113	0
YOR086C	1	418	0.4515	0.376985	0.602149683536257	0.240614671163575	0.7234	0.0631	13	11	24	0.431833333333333	0.298333333333333	116	0
YOR087W	1	30.2	0.287	0.1545075	0.351355492932735	0.142155703703704	0.35	0.0286	10	9	29	0.277222222222222	0.212555555555556	118	0
YOR089C	1	138	0.3083	0.341155	0.559149475588502	0.304428095238095	0.4511	0.0992	8	5	16	0.384	0.305857142857143	291	0
YOR090C	1	67.8	0.419	0.1836675	0.380819705101118	0.363331818181818	0.7589	0.0563	8	3	7	0.31	0.258285714285714	82	0
YOR091W	1	74.6	0.3859	0.284125	0.49609554360714	0.483828985507246	0.4308	0.2865	7	2	6	0.357833333333333	0.268166666666667	65	0
YOR092W	1	2.28	0.0669	0.3518375	0.5796225161006	0.265047308319739	0.0025	0.0163	26	19	4	0.41428	0.26904	185	0
YOR094W	1	221	0.1776	0.18277	0.415205247926845	0.187834972677596	0.3349	0.0857	39	38	8	0.372052631578947	0.255026315789474	168	0
YOR095C	1	161	0.8082	0.69334	0.826932310088629	0.216100387596899	0.4703	0.1574	10	31	14	0.580888888888889	0.354	115	0
YOR096W	1	3168	0.0606	0.18792	0.362084580487704	0.250301578947368	0.272	0.0474	3	23	2	0.1425	0.136	91	0
YOR098C	1	93.8	0.549	0.2081625	0.39942007626861	0.635083643122677	0.7604	0.0083	5	35	7	0.33925	0.17625	136	0
YOR099W	1	120	0.0096	0.03573	0.166820221829034	0.101626972010178	0.2451	0.0074	25	4	28	0.357041666666667	0.229416666666667	96	0
YOR101W	1	27.5	0.0817	0.3488	0.542362545322007	0.436788025889968	0.2355	0.0081	2	7	9	0.588	0.446	218	0
YOR103C	0	42.3	NA	NA	NA	0.05051	5e-04	0.0019	NA	NA	16	NA	NA	90	1
YOR106W	1	5.05	NA	NA	NA	0.479256183745583	0.0052	0.1021	1	8	27	NA	NA	110	0
YOR107W	1	2.54	0.653	0.353245	0.584184365235198	0.39631359223301	0.8671	0.1638	36	43	20	0.412228571428571	0.280228571428571	311	0
YOR108W	1	454	NA	NA	NA	0.281234768211921	0.0948	0.0085	1	7	5	NA	NA	188	0
YOR109W	1	58.2	0.0331	0.0142725	0.103343730830345	0.288724390243902	0.703	0.1019	18	6	34	0.313294117647059	0.221647058823529	190	0
YOR110W	0	31	0.2108	0.081565	0.245790910483031	0.366470344827586	0.4055	0.1045	11	5	NA	0.3202	0.2015	81	1
YOR112W	0	34.6	0.1707	0.1026775	0.298385444382498	0.248967805519054	0.5662	0.1707	21	6	18	0.34625	0.22585	64	0
YOR115C	0	5.62	0.1408	0.16829	0.362548872477988	0.264841417910448	0.2339	0.0578	8	15	NA	0.333857142857143	0.255	87	1
YOR116C	0	124	0.2342	0.286495	0.494096913427465	0.245743287671233	0.1769	0.0208	5	2	NA	0.48425	0.26325	132	1
YOR117W	1	79	0.2575	0.3488	0.542362545322007	0.370689400921659	0.2533	0.0299	2	6	18	0.588	0.446	136	0
YOR118W	1	30.2	0.0861	0.0721525	0.248770684496497	0.236242328042328	0.4748	0.0102	21	13	9	0.30115	0.2263	114	0
YOR119C	1	8.84	0.4373	0.1967775	0.426697749790128	0.308393595041322	0.4503	0.2666	24	20	5	0.388347826086956	0.244695652173913	300	0
YOR120W	1	43.1	0.0141	0.0508175	0.191277400139595	0.275924358974359	0.2141	0.022	14	13	9	0.261461538461538	0.199	146	0
YOR122C	1	209	0.0104	0.0213475	0.136959009719798	0.217700793650794	0.0448	0.0276	44	31	5	0.272232558139535	0.225116279069767	185	0
YOR123C	0	42.5	0.3958	0.0732825	0.22707448364216	0.677729956896552	0.7617	0.4104	10	NA	20	0.221222222222222	0.227555555555556	59	1
YOR124C	0	47	0.1501	0.3533125	0.545728731775002	0.258870440251572	0.2538	0.0306	2	9	5	0.713	0.278	78	0
YOR125C	1	1.72	0.4797	0.510395	0.709944938066565	0.280603862660944	0.0793	0.2715	28	23	18	0.496814814814815	0.30862962962963	137	0
YOR126C	0	5.49	0.2639	0.365305	0.560056331566148	0.149005462184874	0.2048	0.066	3	NA	17	0.478	0.2615	104	1
YOR127W	1	5.51	0.0263	0.10227	0.294245819025208	0.442999900695134	0.012	0.0516	21	8	13	0.36395	0.2362	176	0
YOR128C	0	137	0.0084	0.03674	0.158129201454382	0.202394746059545	0.1935	0.0089	12	16	3	0.283454545454545	0.204909090909091	53	0
YOR129C	0	8.58	NA	NA	NA	0.185575475923852	0.781	0.0379	1	7	6	NA	NA	221	0
YOR130C	0	27.7	0.0057	0.2929625	0.487627130147844	0.0911736301369863	0.0076	0.0185	3	18	NA	0.3775	0.2445	67	1
YOR132W	1	86.2	0.2506	0.1227125	0.308796430864157	0.412211615245009	0.5196	0.2858	11	4	6	0.3427	0.2471	51	0
YOR133W	1	2320	0.169	0.3212675	0.518682740357334	0.23536674584323	0.3022	0.0305	3	27	5	0.522	0.277	186	0
YOR136W	1	592	0.2747	0.275855	0.507822877674758	0.249364498644986	0.2792	0.0792	17	14	30	0.497375	0.2858125	155	0
YOR137C	1	1.87	0.0438	0.25856	0.44887396574418	0.148910610932476	0.0812	0.0752	3	9	5	0.391	0.25	127	0
YOR138C	1	91.6	0.3455	0.136975	0.326285225115371	0.358359761549925	0.879	0.1023	10	19	2	0.32	0.232222222222222	71	0
YOR140W	1	16.5	0.461	0.23123	0.425700694589492	0.621477154046997	0.7579	0.008	5	38	8	0.50625	0.22575	442	0
YOR141C	1	29.8	0.1597	0.236205	0.474618973811685	0.361727809307605	0.0403	0.0998	31	13	25	0.413566666666667	0.253233333333333	283	0
YOR142W	1	346	0.0103	0.186195	0.361098377946471	0.273717629179331	0.08	0.0198	3	7	28	0.154	0.167	192	0
YOR143C	0	35.4	0.0059	0.1735775	0.368012265794331	0.127678056426332	0.0076	0.0059	7	2	NA	0.368166666666667	0.222166666666667	22	1
YOR144C	1	2.64	0.4441	0.36618	0.556384247951101	0.287721871049305	0.2914	0.0962	2	4	22	0.259	0.269	273	0
YOR145C	1	40.6	0.2849	0.3600675	0.553524870763015	0.40361496350365	0.214	0.0141	2	11	21	0.401	0.272	88	0
YOR147W	1	88	0.0032	0.103165	0.249965611828278	0.163272186495177	0.0173	0.0656	5	9	24	0.16875	0.1415	167	0
YOR148C	1	10.2	0.6099	0.2842825	0.493339819736365	0.484592972972973	0.6397	0.0652	6	8	4	0.4128	0.2606	83	0
YOR149C	1	1.34	0.0082	0.0441175	0.186419241635405	0.0393773255813954	0.039	0.0106	19	5	49	0.337833333333333	0.254333333333333	417	0
YOR150W	0	109	NA	NA	NA	0.326096319018405	0.3859	0.0044	NA	3	27	NA	NA	100	1
YOR151C	1	311	0.0842	0.20999	0.400146535985443	0.265974673202614	0.2292	0.0276	5	10	3	0.33925	0.2105	56	0
YOR155C	1	28.6	0.1088	0.17913	0.386794243278567	0.20965	0.2505	0.0258	11	5	7	0.3487	0.2482	115	0
YOR156C	1	28.6	0.306	0.1441425	0.315776201611805	0.435617906336088	0.7579	0.0017	5	33	2	0.244	0.1745	252	0
YOR157C	1	179	0.3631	0.3488	0.542362545322007	0.239192720306513	0.2369	0.0224	2	7	5	0.588	0.446	51	0
YOR158W	0	42.4	NA	NA	NA	0.391412893081761	0.8348	0.2105	NA	3	2	NA	NA	41	1
YOR159C	1	5.01	0.1815	0.2252375	0.46582081954306	0.171075531914894	0.1411	0.0405	25	9	49	0.381291666666667	0.27675	243	0
YOR160W	1	66	0.2138	0.302605	0.511319283528707	0.073116975308642	0.0831	0.1236	5	3	19	0.42575	0.3005	85	0
YOR161C	0	7.75	NA	NA	NA	0.104346567717996	0.0736	0.0036	NA	15	25	NA	NA	92	1
YOR162C	1	3.42	0.3149	0.23852	0.424766030939004	0.227088765432099	0.3649	0.2075	2	13	22	0	0.101	150	0
YOR163W	0	57.1	NA	NA	NA	0.470029787234043	0.3667	0.1429	NA	NA	2	NA	NA	74	1
YOR164C	1	81.2	0.0181	0.04217	0.196025462337527	0.0728705128205128	0.106	0.0139	60	10	9	0.336508474576271	0.226508474576271	214	0
YOR165W	0	81.8	0.2168	0.16437	0.350698534499791	0.195124613402062	0.4355	0.0087	6	2	NA	0.2772	0.2402	168	1
YOR166C	1	1.43	0.0129	0.0452675	0.191057742271657	0.283369868995633	0.1818	0.0114	33	5	7	0.325875	0.22103125	172	0
YOR167C	1	1059	0.0489	0.0381225	0.180580411643777	0.392514925373134	0.3827	0.1267	35	7	30	0.345264705882353	0.220088235294118	130	0
YOR168W	1	548	0.2314	0.2364125	0.422025263091344	0.304586402966625	0.2842	0.0066	3	24	2	0.1905	0.142	102	0
YOR171C	0	39.6	NA	NA	NA	0.297799358974359	0.1821	0.1401	NA	2	14	NA	NA	81	1
YOR172W	0	3.38	0.4455	0.4027925	0.626013324098824	0.197049618320611	0.4059	0.3084	15	NA	17	0.460714285714286	0.292	173	1
YOR173W	1	840	0.4652	0.358525	0.552064543264296	0.179730311614731	0.5456	0.115	2	12	21	0.394	0.361	144	0
YOR174W	1	41	0.4829	0.242905	0.458457093416446	0.445815492957747	0.5175	0.2029	10	5	25	0.459777777777778	0.255333333333333	126	0
YOR175C	1	60.5	0.0532	0.0284925	0.159557978437462	0.133318255250404	0.536	0.0361	42	38	34	0.311682926829268	0.229146341463415	161	0
YOR176W	1	312	NA	NA	NA	0.220686768447837	0.311	0.0116	1	18	31	NA	NA	133	0
YOR179C	1	19.2	0.0066	0.0137	0.102920462328908	0.279897340425532	0.1323	0.0694	22	26	16	0.223619047619048	0.184047619047619	250	0
YOR180C	0	0.627	NA	NA	NA	0.121427675276753	0.4846	0.0173	1	3	12	NA	NA	257	0
YOR181W	1	81.2	0.6475	0.4519075	0.664111255462157	0.721279462875198	0.8071	0.368	15	7	12	0.379428571428571	0.286571428571429	84	0
YOR182C	1	495	0.0473	0.0273625	0.150229707568117	0.705385714285714	0.8326	0.0179	22	4	15	0.287285714285714	0.227142857142857	101	0
YOR184W	1	337	0.0379	0.0645525	0.229908605889267	0.21076582278481	0.1196	0.0801	22	20	8	0.34352380952381	0.248714285714286	117	0
YOR185C	0	665	NA	NA	NA	0.209915454545455	0.5585	0.0647	NA	3	NA	NA	NA	65	1
YOR187W	1	614	0.1557	0.27428	0.47007437029537	0.323800228832952	0.3066	0.0036	3	26	20	0.257	0.2295	123	0
YOR188W	1	14.2	0.1509	0.103165	0.285819071269311	0.5060545294635	0.4601	0.0459	17	6	12	0.3890625	0.247	131	0
YOR189W	1	23.9	0.5	0.2666225	0.493837844364377	0.695226724137931	0.7801	0.2806	16	2	7	0.400333333333333	0.2544	224	0
YOR190W	1	1.21	0.0854	0.10725	0.269717752554772	0.141869438202247	0.3746	0.0684	7	28	13	0.219666666666667	0.191833333333333	262	0
YOR192C	1	2.09	NA	NA	NA	0.0726878130217028	0.705	0.0203	1	27	6	NA	NA	738	0
YOR193W	1	5.37	0.033	0.0619175	0.217532177886525	0.168824468085106	0.3333	0.0078	16	18	4	0.3668	0.222533333333333	115	0
YOR194C	0	1.88	0.2259	0.2281275	0.41759111504314	0.572558741258741	0.3202	0.1548	4	21	2	0.225	0.212	68	0
YOR195W	1	33.6	0.0488	0.031635	0.148245267166417	0.544510353227771	0.4507	0.0814	16	13	39	0.270933333333333	0.198466666666667	224	0
YOR196C	1	38.8	0.0355	0.0398525	0.187028285489622	0.364231884057971	0.2189	0.023	37	6	4	0.287305555555555	0.212722222222222	154	0
YOR197W	0	44.8	NA	NA	NA	0.46448287037037	0.2635	0.0224	NA	9	4	NA	NA	79	1
YOR198C	1	666	0.9013	0.3600675	0.553524870763015	0.454477446808511	0.799	0.0206	2	4	61	0.401	0.272	223	0
YOR201C	0	29.2	NA	NA	NA	0.259343932038835	0.0398	0.0334	NA	4	6	NA	NA	73	1
YOR205C	0	10.7	0.0251	0.1526775	0.347011842962074	0.215152338129496	0.0891	0.0983	10	NA	12	0.328444444444444	0.238	84	1
YOR206W	1	342	0.5265	0.2580175	0.464091762876142	0.31014	0.7767	0.208	6	15	11	0.4502	0.272	88	0
YOR207C	1	46.8	0.0038	0.0265025	0.134968049397871	0.210393472584856	0.135	0.0082	13	20	8	0.231166666666667	0.18575	128	0
YOR209C	1	404	0.1334	0.10348	0.265354191440356	0.214573892773893	0.4871	0.1165	7	18	14	0.281333333333333	0.200666666666667	130	0
YOR210W	1	117	0.0422	0.0824925	0.276472810476303	0.0623342857142857	0.1003	0.04	51	9	15	0.33602	0.23886	297	0
YOR211C	0	23.9	NA	NA	NA	0.275159591373439	0.0646	0.0174	NA	2	4	NA	NA	104	1
YOR212W	1	117	0.0393	0.08601	0.27197506994902	0.263543262411348	0.2179	0.0459	31	10	8	0.335566666666667	0.238533333333333	123	0
YOR213C	1	17	0.7255	0.53496	0.712495549308862	0.202936693548387	0.5318	0.1026	5	11	14	0.70375	0.31325	343	0
YOR215C	1	110	0.373	0.4350075	0.647860132498614	0.237535135135135	0.1482	0.2027	15	8	42	0.489571428571428	0.283571428571429	142	0
YOR216C	1	103	0.3479	0.293135	0.522587641543043	0.532009297520661	0.296	0.1349	14	16	5	0.458076923076923	0.273384615384615	102	0
YOR217W	1	75.5	0.4362	0.1276025	0.301896247579664	0.38098281068525	0.8166	0.0991	8	18	6	0.235857142857143	0.208142857142857	229	0
YOR221C	1	15.7	0.3147	0.405295	0.630881676809799	0.225015277777778	0.3655	0.1859	32	51	21	0.458258064516129	0.286387096774194	168	0
YOR222W	0	55.6	0.0046	0.04057	0.166699864794263	0.133638110749186	0.0288	0.003	14	NA	6	0.345	0.215769230769231	61	1
YOR224C	1	96.9	0.0782	0.2800575	0.49867288675165	0.244681506849315	0.1641	0.3665	7	17	20	0.351666666666667	0.263333333333333	135	0
YOR226C	1	89.8	0.3411	0.3185425	0.537313158170595	0.252897435897436	0.3461	0.1636	8	26	7	0.343857142857143	0.280571428571429	156	0
YOR227W	1	12	0.0049	0.0033975	0.0560856707875158	0.431155136436597	0.5473	0.0045	48	21	15	0.250893617021277	0.18831914893617	162	0
YOR228C	0	2.99	0.0115	0.2528825	0.463262315969975	0.147762913907285	0.0129	0.0094	6	8	NA	0.4948	0.282	132	1
YOR229W	1	96.1	0.4602	0.476505	0.675771190778005	0.390018201284797	0.1649	0.0416	8	25	6	0.442857142857143	0.363571428571429	206	0
YOR230W	1	363	0.588	0.3452275	0.548811676715218	0.345805263157895	0.4543	0.0375	4	40	22	0.571	0.240333333333333	189	0
YOR231W	1	10.9	0.0856	0.222205	0.434394929221397	0.353876968503937	0.1842	0.0676	9	34	3	0.3635	0.242375	188	0
YOR232W	1	89.3	0.5758	0.4094575	0.597894967975564	0.457646052631579	0.4644	0.0126	2	24	36	1	0.342	136	0
YOR233W	0	11.3	0.4542	0.21959	0.417033058424603	0.51124925	0.5185	0.0625	5	23	15	0.3735	0.20725	68	0
YOR234C	1	817	0.0234	0.2788725	0.471256728497848	0.256546728971963	0.0588	0.0078	3	17	2	0.454	0.2125	75	0
YOR236W	0	32.1	0.0089	0.040535	0.16749373141308	0.247280568720379	0.0606	0.0038	12	NA	10	0.240545454545455	0.192363636363636	67	1
YOR239W	1	209	0.2918	0.4637725	0.665577903379415	0.53968423566879	0.0302	0.0417	13	27	4	0.5985	0.274833333333333	208	0
YOR243C	1	91.6	0.1296	0.1582	0.361853272955488	0.334493343195266	0.4267	0.089	11	37	58	0.2355	0.2256	205	0
YOR244W	1	14.8	0.0179	0.3081675	0.501473498242489	0.255246741573034	0.0278	0.0125	3	7	15	0.3705	0.1885	98	0
YOR245C	0	8.96	NA	NA	NA	0.11119043062201	0.1156	0.0146	1	NA	12	NA	NA	114	1
YOR249C	1	4.58	0.4652	0.3760525	0.56766238527244	0.108975766423358	0.305	0.1835	2	5	10	0.665	0.364	53	0
YOR250C	0	22.6	NA	NA	NA	0.160510112359551	0.0631	0.0522	NA	NA	2	NA	NA	35	1
YOR251C	1	68.8	NA	NA	NA	0.24785625	0.4464	0.0321	1	7	13	NA	NA	94	0
YOR252W	0	86.2	0.0635	0.0457475	0.190220694537168	0.450399438202247	0.5216	0.062	21	NA	16	0.2786	0.2079	74	1
YOR253W	0	90	0.0046	0.01083	0.0976205576146555	0.131364772727273	0.1832	0.0219	32	4	NA	0.296838709677419	0.224548387096774	117	1
YOR254C	1	243	0.9717	0.24268	0.42520237235285	0.24605233785822	0.9587	0.1009	2	5	4	0.09	0.125	92	0
YOR256C	1	4.58	0.0526	0.1153875	0.288794942086879	0.257524598269468	0.1791	0.0138	9	2	4	0.354125	0.249875	102	0
YOR257W	1	4.96	0.078	0.24963	0.430844194454267	0.241404968944099	0.3052	0.0085	2	13	9	0.195	0.147	56	0
YOR258W	1	5.54	0.0162	0.103045	0.283124640891158	0.153067741935484	0.0599	0.007	11	23	26	0.336	0.2328	90	0
YOR259C	0	224	0.1115	0.23852	0.424766030939004	0.382607322654462	0.233	0.0332	2	9	NA	0	0.101	59	1
YOR260W	1	160	0.1857	0.12788	0.323726317047428	0.318759169550173	0.5505	0.1179	16	2	12	0.408933333333333	0.2462	122	0
YOR261C	1	287	0.4989	0.282615	0.485841507913343	0.307687278106509	0.6548	0.1302	4	6	8	0.33	0.308	76	0
YOR262W	0	96.6	NA	NA	NA	0.167046974063401	0.3728	0.0959	NA	14	18	NA	NA	102	1
YOR264W	1	11.8	0.1346	0.2122625	0.407093844066931	0.409524651162791	0.1468	0.0618	5	9	16	0.29625	0.26775	184	0
YOR265W	0	52.6	NA	NA	NA	0.397397169811321	0.4277	0.1285	NA	4	3	NA	NA	32	1
YOR266W	1	24.4	0.1323	0.3098675	0.498394595328726	0.140358156028369	0.0941	0.0121	2	15	6	0.291	0.159	76	0
YOR267C	1	68.1	0.0066	0.0165325	0.107761287958579	0.556076679841897	0.4851	0.0061	15	31	14	0.220571428571429	0.204785714285714	180	0
YOR269W	0	2.73	0.0021	0.0097075	0.0822620877869636	0.185216801619433	0.1199	0.0013	12	22	16	0.261181818181818	0.176363636363636	159	0
YOR270C	1	638	0.0188	0.09895	0.289086439562173	0.115237023809524	0.0913	0.0105	17	6	3	0.3675625	0.273125	126	0
YOR272W	1	177	0.1384	0.170465	0.367232684151701	0.310552173913043	0.3897	0.0298	9	11	14	0.370875	0.231625	80	0
YOR273C	1	216	0.3223	0.1899525	0.421755417241899	0.242835053110774	0.6033	0.2205	29	4	22	0.341928571428571	0.267642857142857	191	0
YOR274W	1	26.7	0.3654	0.264525	0.459612775136567	0.279458177570094	0.413	0.0203	3	10	22	0.3505	0.3165	277	0
YOR275C	1	31.9	0.0329	0.040485	0.181591832355883	0.212369591527988	0.4086	0.0083	28	8	35	0.361	0.222481481481482	131	0
YOR276W	1	392	0.1412	0.0396875	0.174554459628839	0.578801863354037	0.7014	0.0698	20	19	17	0.301315789473684	0.210526315789474	93	0
YOR278W	0	17.3	0.1881	0.2412625	0.42402184733524	0.217217818181818	0.3044	0.0125	2	NA	22	0.113	0.187	82	1
YOR279C	0	10.8	0.3208	0.19438	0.36791745033584	0.567876129032258	0.5003	0.1015	3	6	11	0.195	0.147	93	0
YOR280C	1	6.48	0.1987	0.3019525	0.504307399990018	0.219278947368421	0.2493	0.0158	4	3	15	0.269666666666667	0.281333333333333	62	0
YOR281C	0	96	0.0204	0.030235	0.149170727561212	0.406870629370629	0.4726	0.0236	19	NA	2	0.279166666666667	0.196444444444444	93	1
YOR284W	1	13.9	0.0134	0.0670575	0.238453509448617	0.1876670781893	0.0134	0.0106	25	18	17	0.356041666666667	0.241833333333333	282	0
YOR285W	0	174	0.1839	0.1785775	0.363409733097956	0.353048920863309	0.3498	0.0107	5	NA	14	0.32125	0.17875	69	1
YOR286W	0	77.8	0.5627	0.3823225	0.593584590394501	0.335153020134228	0.4379	0.0914	7	14	NA	0.523666666666667	0.343833333333333	85	1
YOR287C	0	4.85	0.4039	0.2711375	0.464752919621564	0.578914	0.4507	0.3848	3	17	10	0.4015	0.2015	63	0
YOR288C	0	31	0.0485	0.036155	0.167186656725457	0.189741509433962	0.7291	0.0391	22	8	11	0.24047619047619	0.21352380952381	77	0
YOR293W	1	652	0.6538	0.4127825	0.620657206945223	0.267253333333333	0.6888	0.0146	7	4	13	0.438666666666667	0.2755	142	0
YOR294W	1	20.3	NA	NA	NA	0.508501477832512	0.7502	0.1793	1	17	25	NA	NA	150	0
YOR295W	1	7.97	0.3527	0.2551825	0.478479911959548	0.420429385964912	0.6094	0.0848	11	66	6	0.3645	0.2792	227	0
YOR297C	1	44.1	0.0035	0.05132	0.187713162127244	0.0708	0.0403	0.0232	12	17	23	0.262818181818182	0.199818181818182	128	0
YOR298C-A	1	899	0.3269	0.12725	0.327837142004782	0.63561059602649	0.7338	0.0106	21	29	18	0.4044	0.2305	230	0
YOR301W	1	1.65	0.233	0.31815	0.559168657094327	0.197939540229885	0.0178	0.1889	60	2	18	0.418542372881356	0.272254237288136	311	0
YOR303W	0	242	0.0683	0.238195	0.449036007126068	0.216654744525547	0.1287	0.0571	8	14	NA	0.333857142857143	0.269	76	1
YOR304W	0	32.5	0.2421	0.096975	0.260644674287475	0.320683214285714	0.6819	0.0419	8	NA	7	0.246714285714286	0.197571428571429	84	1
